Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-19 20:44:54,NUGT,Corto,VBS_ADX,52.32,52.49,0.17,294.11765,50
2022-1-19 20:44:55,SPXL,Corto,VBS_ADX,125.26,125.97,0.71,70.42254,50
2022-1-19 20:44:54,TGT,Corto,VBS_ADX,224.3223,224.72,0.3977,125.72291,50
2022-1-19 20:49:54,MCD,Corto,VBS_ADX,256.52,256.8099,0.2899,172.47327,50
2022-1-19 20:49:55,LOW,Corto,VBS_ADX,236.48,236.87,0.39,128.20513,50
2022-1-19 20:49:56,MU,Corto,VBS_ADX,90.47,90.76,0.29,172.41379,50
2022-1-19 20:49:54,NUGT,Corto,VBS_ADX,52.5,52.66,0.16,312.5,50
2022-1-19 20:49:54,SPXL,Corto,VBS_ADX,125.39,125.94,0.55,90.90909,50
2022-1-19 20:49:55,TGT,Corto,VBS_ADX,224.535,224.88,0.345,144.92754,50
2022-1-19 20:54:55,SPXL,Corto,VBS_ADX,125.46,125.73,0.27,185.18519,50
2022-1-19 20:54:55,TGT,Corto,VBS_ADX,224.59,224.85,0.26,192.30769,50
2022-1-19 20:59:54,AMAT,Corto,VBS_ADX,144.93,145.4799,0.5499,90.92562,50
2022-1-19 20:59:55,LVS,Corto,VBS_ADX,43.89,43.99,0.1,500,50
2022-1-19 20:59:55,NKE,Corto,VBS_ADX,146.13,146.31,0.18,277.77778,50
2022-1-19 20:59:55,SPXL,Corto,VBS_ADX,125.92,126.3099,0.3899,128.23801,50
2022-1-19 21:15:02,LVS,Corto,VBS_ADX,44.06,44.165,0.105,476.19048,50
2022-1-19 21:19:55,DIS,Corto,VBS_ADX,150.41,150.6,0.19,263.15789,50
2022-1-19 21:44:55,DIS,Corto,VBS_ADX,150.25,150.6,0.35,142.85714,50
2022-1-20 16:59:59,TGT,largo,VBS_ADX,228.4,227.745,0.655,76.33588,50
2022-1-20 17:05:00,TGT,largo,VBS_ADX,228.31,227.815,0.495,101.0101,50
2022-1-20 17:15:01,AAPL,largo,VBS_ADX,169.08,168.96,0.12,416.66667,50
2022-1-20 17:15:01,DIS,largo,VBS_ADX,152.105,151.7,0.405,123.45679,50
2022-1-20 17:15:01,SPXL,largo,VBS_ADX,127.99,127.5901,0.3999,125.03126,50
2022-1-20 17:15:00,UBER,largo,VBS_ADX,39.245,39.05,0.195,256.41026,50
2022-1-20 17:20:00,DIS,largo,VBS_ADX,151.91,151.72,0.19,263.15789,50
